sno,name,latitude,longitude
1,ICICI chetpet,13.07786,80.25121
2,canara bank,13.07374,80.25246
3,ATM haddows road,13.06455,80.24776
4,Bank sterling road,13.06263,80.23671
5,indusland bank egmore,13.07303,80.25599
6,axis bank muktha garden,13.06997,80.24498
7,andhra bank mandaveli ,13.02095,80.26962
8,HDFC bank mylapore,13.02815,80.26033
9,sbi mylapore,13.03357,80.26793
10,canara bank RA puram,13.084367,80.218249
11,TMB bank mylapore,13.02815,80.26033
12,LV bank mylai,13.03426,80.26982
13,HDFC santhome,13.02449,80.27232
14,ICICI bank,13.02406,80.25665
15,SBI anna nagar,13.01711,80.22137
16,karnataka bank,13.04468,80.21295
17,bank of baroda kilpauk,13.09155,80.24088
18,IOB sowcarpet,13.031648,80.238219
19,PNB teynampet,13.038699,80.253283
20,bank of maharastra,13.06125,80.25457
21,federal bank anna salai,13.06297,80.26644
22,karur vysya bank,13.07131,80.25886
23,CBI bank t.nagar,12.95707,80.19494
24,IOB adyar,13.00665,80.25574
25,vijaya bank adyar,13.00665,80.25574
26,UCO bank parrys,13.08974,80.28855
27,IOB arumbakkam,13.0688,80.21527
28,dhanalakshimi bank,13.10415,80.29088
29,city bank anna salai,13.07903,80.28201
30,Indian bank ambatur,13.11627,80.16201
31,canara bank MKB nagar,13.12266,80.25929
32,HDFC atm anna nagar,13.08485,80.21158
33,federal bank t nagar,13.02835,80.2278
34,Axis bank chintaripet,13.06297,80.26644
35,Andra bank kilpauk,13.08816,80.23322
36,kotak porur,13.03404,80.16319
37,bank of maharastra ashok nagar,13.03733,80.21508
38,canara bank kodambakkam,13.06061,80.20822
39,HDFC mandaveli,13.02632,80.26601
40,Lakshmi villas guduvanchery,13.037738,80.221205
41,ICICI bank t nagar,13.03963,80.23501
42,Indian bank avadi,13.11724,80.09615
43,Axis bank avadi,13.08091,80.23355
44,ICIC avadi,12.91682,80.12708
45,HDFC red hills,13.16178,80.12532
46,PNB bank ,13.038699,80.253283
47,Andhra bank avadi,13.08091,80.23355
48,Canara bank bessy,13.00022,80.26686
49,SBI besant nagar,12.99555,80.26889
50,Axis bank besant nagar,12.99886,80.26903
51,New andhra hotel,13.03932,80.24426
