id,name,latitude,longitude,capacity
1,Madras Medical Mission Hospital,13.08041,80.18911,300
2,TamilNadu Government Hospital,13.07165,80.27437,400
3,Fortis Malar Hospital,13.00693,80.25148,180
4,Hindu Misson Hospital,12.92534,80.11621,220
5,Shadhitya Hospital,12.96583,80.17991,550
6,DR Kamakshi Hospital,12.93982,80.21115,520
7,New Life Hospital,12.92325,80.14193,200
8,Apollo Speciality Hospital  ,12.95532,80.24551,10000
9,Kaveri Hospital,13.04127,80.258636,200
10,DR Mehtas hospital,13.07099,80.23544,250
11,KVT speciality hospital,13.1319,80.26442,100
12,Ramachandra Hospital,13.03629,80.13464,1800
13,Bharathiraja hospital,13.04262,80.23573,250
14,Billroth Hospital,13.07627,80.227669,600
15,Faith Mulitspeciality Hospital,13.10688,80.20856,100
16,SIMS Hospital,13.186025,80.303401,40
