ID,name,latitude,longitude
52,hotel virudhunagar,13.04977,80.24799
53,hotel chennai,13.07715,80.27016
54,ponnusamy hotel,13.05409,80.24946
55,hotel senthur,13.05989,80.26422
56,saravana bhavan,13.07611,80.26258
57,hotel safari,13.05837,80.27368
58,central hotel,13.07522,80.27575
59,hotel anandha,13.04676,80.24852
60,hotel junion kuppanna,13.04447,80.23255
61,hotel hot food,13.08435,80.25045
62,Bhuri hotel,13.03632,80.24226
63,hotel sangam,13.07003,80.27309
64,sangeetha veg hotel,13.00678,80.25738
65,saravana bhavan,13.0777,80.29171
66,cresent reastaurant,13.00346,80.26062
67,hotel vasantham,12.99992,80.19429
68,vrindhavan reastaurant,13.04386,80.27229
69,hotel cresent,13.06366,80.24349
70,sri pandian hotel,13.02323,80.26404
71,hotel sree bhavan,13.04761,80.27683
72,hotel pandias,13.05117,80.21432
73,hotel ruchi,13.0336,80.27383
74,hotel nagai meenavan,13.04676,80.24852
75,hotel campus,13.05257,80.21153
76,muniyandi villas,13.02741,80.24456
77,madurai sri pandi,13.03118,80.27836
78,sri akshayam,13.09236,80.21573
79,hotel samco,13.03942,80.24708
80,hotel paramount,13.08563,80.23484
81,hotel khaja,13.08142,80.2736
82,sri bhavan,13.08406,80.19328
83,hotel sangamam,13.03135,80.21698
84,mathsya egmore,13.0768,80.2655
85,ramalinga villas,13.12829,80.22537
86,ravi delhi hotel,13.07522,80.27575
87,madurai sri devar,13.01789,80.20447
88,anjappar chettinad,13.04761,80.27683
89,hotelselect,13.03118,80.27836
90,kings hotel,13.0743,80.26151
91,buhari,13.07003,80.27309
92,hotel maa kalyani,13.05625,80.27415
93,sakthi hotel,13.07522,13.07522
94,new andhra meals,13.04219,80.17469
95,iswanathan chettinad0,13.02172,80.25873
96,hotel raaj bhavan,13.05409,80.24946
97,ritz reastaurant,13.07979,80.24947
98,sea brezze,13.0694,80.18154
99,arasi mess,13.04761,80.27683
100,night food reastaurant,13.0289,80.23949
101,madurai kumar mess,13.05257,80.21153
102,aahar hotel,13.06153,80.28023
103,dakshin hotel,13.04658,80.26122
104,anandham reastaurant,13.05183,80.25152
105,spectra hotels,13.02008,80.27401
106,santhi veg hotel,13.08517,80.26683
107,hotel chaitra,13.03118,80.27836
108,hotel sri krishna prasad,13.08885,80.29037
109,balajjee bhavan,13.03632,80.24226
110,sri ganesh bhavan,13.05185,80.26347
