Sno,name,latitude,longitude
1,Jega Jothi Electronic Lorry Weigh Bridge,13.020575,80.206844
2,Electronic Computerised Lorry Weigh Bridge,13.066682,80.224741
3,Shri Lakshmi Weight Bridge,13.0427,80.09636
4,RD Weighing System,13.0941,80.2752
5,Venkateswara Electronic Weigh Bridge,13.020575,80.206844
6,K.R.T. Electronic Weigh Bridge,13.020575,80.206844
7,Gagapathy Eelectronic Weigh Bridge,13.066682,80.224741
8,OM RAGAVENDRA WEIGH BRIDGE,13.03769,80.18645
9,Anitha Weigh Bridge,13.10162,80.27089
